"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2022","NY","New York","Tioga","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","79.5",,,"76.0","82.8","47,772","38,263","36107","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-76.3059589040649 42.1703300051601)"
"2022","NC","North Carolina","Rowan","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.9",,,"73.8","81.5","149,645","117,165","37159","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-80.5247968376348 35.639349134151)"
"2022","NY","New York","Saratoga","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","79.0",,,"75.9","81.9","238,797","193,928","36091","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-73.8637604917138 43.1069691252808)"
"2022","NC","North Carolina","Avery","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.7",,,"73.8","81.3","17,571","15,070","37011","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-81.9225713884377 36.0766997215744)"
"2022","ND","North Dakota","Ransom","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","75.5",,,"71.3","79.4","5,640","4,395","38073","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-97.6574454800637 46.4562203599043)"
"2022","NY","New York","Suffolk","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","78.3",,,"75.8","80.7","1,525,465","1,216,015","36103","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-72.8428608406326 40.870154068565)"
"2022","NC","North Carolina","Mitchell","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","74.0",,,"69.5","77.8","15,094","12,320","37121","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-82.1631707071333 36.0134689001414)"
"2022","NC","North Carolina","Pasquotank","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","76.3",,,"72.0","80.2","40,938","32,327","37139","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-76.2844399122087 36.2952169111293)"
"2022","OH","Ohio","Defiance","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.9",,,"74.1","81.3","38,187","29,606","39039","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-84.4905879101881 41.3239133830731)"
"2022","NY","New York","Ulster","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","79.5",,,"76.1","82.5","182,319","151,775","36111","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-74.2585098574373 41.8880474981802)"
