"Year","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPop18plus","TotalPopulation","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","57783","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","75.2",,,"72.0","78.5","12,792","16,165","POINT (-103.9252659 44.4563391)","57783","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57720","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.6",,,"72.6","80.2","565","752","POINT (-103.5860674 45.5371676)","57720","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57750","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","74.1",,,"69.9","78.0","262","405","POINT (-101.9451278 43.5928996)","57750","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57751","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","80.2",,,"77.6","82.9","601","717","POINT (-103.4269319 43.8691347)","57751","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58046","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","78.0",,,"74.4","81.5","443","561","POINT (-97.7277206 47.3220861)","58046","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58047","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","75.8",,,"72.6","78.7","2,993","4,216","POINT (-96.8728575 46.7135279)","58047","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58013","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.2",,,"73.2","80.9","91","123","POINT (-97.3532657 46.0578507)","58013","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57785","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.9",,,"75.1","80.6","7,830","9,895","POINT (-103.1888195 44.4024719)","57785","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58015","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","74.4",,,"70.4","78.1","225","288","POINT (-96.8154315 46.5922041)","58015","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58071","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.1",,,"74.6","79.5","371","500","POINT (-97.6827357 46.9412779)","58071","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57752","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","72.1",,,"68.5","75.7","1,468","2,324","POINT (-102.2013315 43.4293329)","57752","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58048","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.2",,,"73.6","78.8","424","562","POINT (-97.2236552 47.1988209)","58048","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57787","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","78.1",,,"75.2","81.0","243","336","POINT (-102.6578394 44.6679938)","57787","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58049","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.9",,,"75.1","80.8","225","294","POINT (-97.9914651 46.6706895)","58049","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58016","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.5",,,"73.2","79.5","107","124","POINT (-97.4629516 47.3661128)","58016","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58072","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","74.6",,,"70.8","78.2","6,497","7,999","POINT (-98.008336 46.927034)","58072","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57754","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.0",,,"72.7","79.3","2,881","3,579","POINT (-103.8875686 44.2554342)","57754","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57755","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.3",,,"73.3","80.9","110","143","POINT (-103.347178 45.8683261)","57755","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58075","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","74.3",,,"70.1","78.0","7,004","9,028","POINT (-96.7303937 46.2755359)","58075","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57788","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.3",,,"74.4","80.1","424","534","POINT (-103.2049411 44.6169643)","57788","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57756","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","71.1",,,"67.0","74.9","546","939","POINT (-102.4754373 43.2372883)","57756","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58051","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","75.3",,,"72.4","77.9","1,178","1,706","POINT (-97.0215008 46.6368327)","58051","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58017","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","78.9",,,"75.2","82.3","194","235","POINT (-97.8514709 46.0433612)","58017","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58076","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","62.1",,,"55.9","67.7","437","442","POINT (-96.6074489 46.2740561)","58076","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57790","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.9",,,"75.0","80.6","772","1,056","POINT (-102.2008769 44.1040784)","57790","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57758","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","78.4",,,"75.7","81.0","138","190","POINT (-102.7370811 44.9946206)","57758","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58052","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.9",,,"75.3","80.3","435","551","POINT (-97.279569 46.6346199)","58052","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58018","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","73.8",,,"69.8","77.7","280","370","POINT (-96.8887424 46.4345654)","58018","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58077","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.3",,,"72.5","79.9","632","849","POINT (-96.9760131 46.5245829)","58077","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58021","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.3",,,"73.3","79.0","300","443","POINT (-97.08213 46.7361539)","58021","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57791","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.1",,,"73.5","78.6","175","217","POINT (-102.4575122 44.2470259)","57791","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58078","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","74.4",,,"71.3","77.2","28,455","39,161","POINT (-96.9421624 46.8672438)","58078","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57759","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.3",,,"74.3","80.5","369","401","POINT (-103.5567981 44.2278184)","57759","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58053","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.9",,,"74.7","80.8","927","1,212","POINT (-97.1805402 46.0525052)","58053","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","58027","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.1",,,"73.9","80.0","1,089","1,415","POINT (-97.6307351 46.6331768)","58027","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","57760","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.6",,,"73.8","81.0","960","1,248","POINT (-103.3346764 44.8946582)","57760","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
