State,County,Metric,Category,Count
Texas,"Frio County, TX",Facility Type,All,3512
Texas,"Frio County, TX",Facility Type,Other Facility Type,3512
Texas,"Frio County, TX",Facility Type (Detailed),All,3512
Texas,"Frio County, TX",Facility Type (Detailed),Contract Detention Facility: owned by private company/under govt contract,1759
Texas,"Frio County, TX",Facility Type (Detailed),Family: a facility in which families are detained together,1753
Texas,"Frio County, TX",Facility Operator,All,3512
Texas,"Frio County, TX",Facility Operator,"GEO Group, Inc",1759
Texas,"Frio County, TX",Facility Operator,CORECIVIC,1753
Texas,"Frio County, TX",Facility Owner,All,3512
Texas,"Frio County, TX",Facility Owner,"GEO Group, Inc",1759
Texas,"Frio County, TX",Facility Owner,County,1753
Texas,"Frio County, TX",Entered ICE Custody by Month,All,3512
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-11,2635
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-10,338
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-09,170
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-08,102
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-07,68
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-06,44
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-05,34
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-12,23
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-03,17
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-04,12
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-02,12
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-12,12
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-01,11
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-10,6
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-11,5
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-09,3
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-12,3
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-07,3
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-01,3
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-03,2
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-06,2
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-08,2
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-05,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-02,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-05,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2015-11,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2015-02,1
Texas,"Frio County, TX",Time in U.S.,All,3512
Texas,"Frio County, TX",Time in U.S.,Up to 1 year,2918
Texas,"Frio County, TX",Time in U.S.,Not Known,296
Texas,"Frio County, TX",Time in U.S.,Between 1 and 2 years,52
Texas,"Frio County, TX",Time in U.S.,Between 10 and 15 years,42
Texas,"Frio County, TX",Time in U.S.,20 years or more,35
Texas,"Frio County, TX",Time in U.S.,Between 2 and 3 years,32
Texas,"Frio County, TX",Time in U.S.,Between 15 and 20 years,32
Texas,"Frio County, TX",Time in U.S.,Between 3 and 4 years,26
Texas,"Frio County, TX",Time in U.S.,Between 4 and 5 years,24
Texas,"Frio County, TX",Time in U.S.,Between 6 and 7 years,18
Texas,"Frio County, TX",Time in U.S.,Between 5 and 6 years,13
Texas,"Frio County, TX",Time in U.S.,Between 8 and 9 years,12
Texas,"Frio County, TX",Time in U.S.,Between 7 and 8 years,8
Texas,"Frio County, TX",Time in U.S.,Between 9 and 10 years,4
Texas,"Frio County, TX",Legal Permanent Resident,All,3512
Texas,"Frio County, TX",Legal Permanent Resident,No,3499
Texas,"Frio County, TX",Legal Permanent Resident,Yes,13
Texas,"Frio County, TX",Asylum Seeker/Refugee,All,3512
Texas,"Frio County, TX",Asylum Seeker/Refugee,No,3275
Texas,"Frio County, TX",Asylum Seeker/Refugee,Yes,237
Texas,"Frio County, TX",Most Serious Criminal Conviction,All,3512
Texas,"Frio County, TX",Most Serious Criminal Conviction,No Conviction,2741
Texas,"Frio County, TX",Most Serious Criminal Conviction,"Illegal Entry (INA SEC.101(a)(43)(O), 8USC1325 only)",325
Texas,"Frio County, TX",Most Serious Criminal Conviction,Driving Under Influence Liquor,121
Texas,"Frio County, TX",Most Serious Criminal Conviction,Assault,50
Texas,"Frio County, TX",Most Serious Criminal Conviction,Marijuana - Possession,24
Texas,"Frio County, TX",Most Serious Criminal Conviction,Larceny,22
Texas,"Frio County, TX",Most Serious Criminal Conviction,Traffic Offense,18
Texas,"Frio County, TX",Most Serious Criminal Conviction,Burglary,16
Texas,"Frio County, TX",Most Serious Criminal Conviction,Dangerous Drugs,12
Texas,"Frio County, TX",Most Serious Criminal Conviction,Domestic Violence,11
Texas,"Frio County, TX",Most Serious Criminal Conviction,"Illegal Re-Entry (INA SEC.101(a)(43)(O), 8USC1326 only)",10
Texas,"Frio County, TX",Most Serious Criminal Conviction,Obstruct Police,10
Texas,"Frio County, TX",Most Serious Criminal Conviction,Resisting Officer,9
Texas,"Frio County, TX",Most Serious Criminal Conviction,Smuggling Aliens,8
Texas,"Frio County, TX",Most Serious Criminal Conviction,Public Order Crimes,7
Texas,"Frio County, TX",Most Serious Criminal Conviction,Trespassing,7
Texas,"Frio County, TX",Most Serious Criminal Conviction,Aggravated Assault - Weapon,7
Texas,"Frio County, TX",Most Serious Criminal Conviction,Carrying Prohibited Weapon,6
Texas,"Frio County, TX",Most Serious Criminal Conviction,Threat Terroristic State Offenses,5
Texas,"Frio County, TX",Most Serious Criminal Conviction,Fraud,5
Texas,"Frio County, TX",Most Serious Criminal Conviction,Robbery,5
Texas,"Frio County, TX",Most Serious Criminal Conviction,Cocaine - Sell,4
Texas,"Frio County, TX",Most Serious Criminal Conviction,Assembly - Unlawful,4
Texas,"Frio County, TX",Most Serious Criminal Conviction,Sex Assault,3
Texas,"Frio County, TX",Most Serious Criminal Conviction,Immigration (Possess of Fraud. Immigration Docs),3
Texas,"Frio County, TX",Most Serious Criminal Conviction,Hit and Run,3
Texas,"Frio County, TX",Most Serious Criminal Conviction,Drug Trafficking,3
Texas,"Frio County, TX",Most Serious Criminal Conviction,Cocaine - Possession,3
Texas,"Frio County, TX",Most Serious Criminal Conviction,"Flight To Avoid (prosecution, confinement, etc.)",3
Texas,"Frio County, TX",Most Serious Criminal Conviction,Failure To Appear,3
Texas,"Frio County, TX",Most Serious Criminal Conviction,Liquor,3
Texas,"Frio County, TX",Most Serious Criminal Conviction,Forgery,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Disorderly Conduct,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Drug Possession,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Sex Offense,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Aggravated Assault - Family-Strongarm,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Cruelty Toward Wife,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Amphetamine - Possession,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Sex Offense Against Child-Fondling,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Shoplifting,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Prostitution,2
