"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2021","OK","Oklahoma","Grant","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","73.2",,,"67.6","78.1","4,131","40053","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-97.7881508 36.7882544)"
"2021","MD","Maryland","Wicomico","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","77.1",,,"73.7","80.3","103,980","24045","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-75.6320828 38.3673699)"
"2021","ND","North Dakota","Bowman","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","69.1",,,"63.3","74.6","2,903","38011","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-103.5059433 46.1101438)"
"2021","LA","Louisiana","Madison","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","80.1",,,"75.5","84.3","9,799","22065","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-91.2319321 32.3468782)"
"2021","MI","Michigan","Shiawassee","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","76.2",,,"71.0","80.6","67,877","26155","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-84.1463518 42.9515446)"
"2021","ID","Idaho","Idaho","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","72.9",,,"68.3","76.9","17,040","16049","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-115.4673371 45.849644)"
"2021","IN","Indiana","Huntington","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","72",,,"66.9","76.4","36,717","18069","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-85.4785975 40.8263938)"
"2021","IN","Indiana","Marion","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","74",,,"71.0","76.8","971,102","18097","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-86.1357939 39.7829759)"
"2021","AZ","Arizona","Pinal","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","68.8",,,"64.8","72.7","449,557","04021","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-111.3663396 32.9185209)"
"2021","KY","Kentucky","Warren","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","75",,,"70.4","79.3","137,212","21227","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-86.4235786 36.995634)"
