"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2020","AL","Alabama","Wilcox","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","79.4",,,"78.4","80.4","10,206","01131","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-87.3049349 31.9900824)"
"2020","AR","Arkansas","Dallas","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","81.4",,,"80.7","82.1","6,802","05039","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-92.6539989 33.9678233)"
"2020","CO","Colorado","Montrose","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","64.7",,,"63.6","65.8","43,322","08085","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-108.2662815 38.4075069)"
"2020","CO","Colorado","Otero","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","66.1",,,"65.0","67.2","18,201","08089","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-103.7212597 37.8841698)"
"2020","GA","Georgia","Lee","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","76.8",,,"75.8","77.7","30,234","13177","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-84.1466814 31.8184185)"
"2020","MS","Mississippi","Sunflower","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","79.9",,,"78.9","80.9","24,740","28133","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-90.5950901 33.6055289)"
"2020","WV","West Virginia","Mercer","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","83.8",,,"83.0","84.6","58,258","54055","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-81.106456 37.4034477)"
"2020","CO","Colorado","Hinsdale","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","65.4",,,"64.1","66.8","808","08053","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-107.3839736 37.8115187)"
"2020","AK","Alaska","Copper River","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","60.4",,,"59.3","61.5","2,919","02066","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-143.9221674 62.034479)"
"2020","AL","Alabama","Geneva","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","71.9",,,"70.5","73.1","26,411","01061","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-85.8210224 31.0923822)"
"2020","CA","California","Tehama","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","66.4",,,"65.3","67.6","64,494","06103","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-122.2322737 40.1261573)"
"2020","CO","Colorado","Logan","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","64.1",,,"62.9","65.3","21,974","08075","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-103.0904639 40.7280911)"
"2020","CA","California","Plumas","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","72.3",,,"71.3","73.3","18,967","06063","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-120.8243709 39.9922953)"
"2020","AL","Alabama","Baldwin","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","76.3",,,"75.4","77.1","229,287","01003","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.7460666 30.6592183)"
"2020","AL","Alabama","Marengo","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","79.6",,,"78.8","80.3","18,733","01091","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.791091 32.2475911)"
"2020","AL","Alabama","Tuscaloosa","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","75.9",,,"75.0","76.7","210,758","01125","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.5227834 33.2902197)"
"2020","CO","Colorado","Cheyenne","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","65.5",,,"64.2","66.7","1,795","08017","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-102.6017914 38.8356456)"
"2020","CA","California","Tulare","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","68.2",,,"67.0","69.3","468,680","06107","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-118.7810551 36.2288339)"
"2020","AR","Arkansas","Garland","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","75.5",,,"74.4","76.5","99,789","05051","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-93.1469323 34.5788522)"
"2020","CO","Colorado","Chaffee","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","65.9",,,"64.8","66.9","20,661","08015","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-106.3000246 38.7345986)"
"2020","AR","Arkansas","Calhoun","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","75.4",,,"74.4","76.4","5,113","05013","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-92.513879 33.5604604)"
"2020","AR","Arkansas","Sevier","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","74.4",,,"73.4","75.4","16,702","05133","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-94.2432792 33.9948773)"
"2020","CO","Colorado","Alamosa","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","66.9",,,"65.7","68.0","16,180","08003","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-105.7880414 37.5684423)"
"2020","CA","California","El Dorado","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","65.6",,,"64.4","66.8","192,925","06017","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-120.5342245 38.7856116)"
"2020","AK","Alaska","Haines","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","68.7",,,"67.6","69.7","2,614","02100","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-135.5757906 59.0984037)"
"2020","AL","Alabama","Franklin","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","73.4",,,"72.3","74.5","31,507","01059","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.8428144 34.4419892)"
"2020","AK","Alaska","Skagway","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","61.2",,,"59.8","62.6","1,179","02230","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-135.3382787 59.5603794)"
"2020","AZ","Arizona","Gila","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","65.8",,,"65.0","66.7","54,303","04007","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-110.8118696 33.7896177)"
"2020","AL","Alabama","Coosa","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","79.1",,,"78.2","79.8","10,650","01037","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-86.2434818 32.9314453)"
"2020","AR","Arkansas","Johnson","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","73.8",,,"72.6","74.9","26,513","05071","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-93.4663223 35.5733586)"
"2020","CA","California","Mendocino","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","69.4",,,"68.5","70.3","86,061","06045","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-123.4428811 39.4323876)"
"2020","AR","Arkansas","Bradley","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","77.2",,,"76.3","78.0","10,639","05011","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-92.1691559 33.4665491)"
"2020","AK","Alaska","Bristol Bay","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","63.5",,,"62.6","64.5","788","02060","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-156.9668053 58.741661)"
"2020","AR","Arkansas","Washington","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","76.1",,,"75.3","77.0","243,216","05143","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-94.2172695 35.978001)"
"2020","AL","Alabama","Walker","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","76.2",,,"75.1","77.3","63,143","01127","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.3010936 33.7915581)"
"2020","AL","Alabama","Macon","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","80.4",,,"79.4","81.3","17,895","01087","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-85.692887 32.3870267)"
"2020","AR","Arkansas","Greene","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","76.4",,,"75.3","77.6","45,597","05055","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-90.5663459 36.1206072)"
"2020","AR","Arkansas","Clark","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","77.5",,,"76.3","78.6","22,103","05019","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-93.1762085 34.0533162)"
"2020","AR","Arkansas","Hempstead","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","76.4",,,"75.5","77.2","21,253","05057","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-93.6643553 33.735953)"
"2020","AL","Alabama","Greene","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","80.1",,,"79.1","81.1","7,990","01063","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-87.9642005 32.8444965)"
"2020","AR","Arkansas","Prairie","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","78.6",,,"77.6","79.6","7,966","05117","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-91.5536205 34.8311162)"
"2020","AR","Arkansas","Scott","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","76.3",,,"75.2","77.3","10,164","05127","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-94.0636413 34.8588693)"
"2020","CO","Colorado","Larimer","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","64.7",,,"63.8","65.6","360,428","08069","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-105.4867638 40.6580933)"
"2020","AL","Alabama","Bullock","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","78",,,"76.9","78.9","9,976","01011","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-85.7172613 32.1017589)"
"2020","AL","Alabama","St. Clair","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","75.2",,,"74.1","76.2","90,739","01115","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-86.3113273 33.7194907)"
"2020","AR","Arkansas","Lafayette","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","77.2",,,"76.2","78.1","6,596","05073","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-93.611514 33.2406294)"
"2020","AK","Alaska","Fairbanks North Star","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","63.2",,,"62.3","64.1","95,651","02090","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-146.5481586 64.6760436)"
"2020","AZ","Arizona","Santa Cruz","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","71.1",,,"69.8","72.3","46,808","04023","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-110.8452278 31.525733)"
"2020","AR","Arkansas","Lawrence","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","75",,,"73.6","76.2","16,410","05075","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-91.1011529 36.0410983)"
"2020","CA","California","Riverside","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","67.7",,,"66.8","68.5","2,489,188","06065","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-116.0022389 33.7298275)"
"2020","AL","Alabama","Russell","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","78.1",,,"77.3","79.0","58,237","01113","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-85.1869798 32.2898113)"
"2020","CO","Colorado","Lincoln","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","65.7",,,"64.6","67.0","5,680","08073","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-103.5075545 38.9937401)"
"2020","AR","Arkansas","Carroll","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","73.1",,,"72.0","74.2","28,276","05015","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-93.5409718 36.3373704)"
"2020","CA","California","San Diego","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","69.5",,,"68.7","70.2","3,332,427","06073","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-116.7761174 33.0236041)"
"2020","CA","California","San Luis Obispo","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","66.3",,,"65.2","67.4","282,249","06079","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-120.4488974 35.3881891)"
"2020","AL","Alabama","Hale","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","78.7",,,"77.8","79.5","14,670","01065","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-87.6230608 32.7527958)"
"2020","AR","Arkansas","Grant","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","77.1",,,"76.0","78.2","18,449","05053","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-92.4229794 34.2855683)"
"2020","AK","Alaska","Bethel","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","68.1",,,"66.8","69.3","18,437","02050","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-160.1526246 60.9291413)"
"2020","CO","Colorado","Elbert","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","65.8",,,"64.5","67.0","27,313","08039","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-104.1140759 39.3151572)"
"2020","CA","California","Sierra","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","72.8",,,"71.7","73.8","2,920","06091","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-120.5219926 39.5769252)"
"2020","AK","Alaska","Matanuska-Susitna","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","63.8",,,"62.7","64.8","110,213","02170","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-149.5039935 62.2656263)"
"2020","AL","Alabama","Dallas","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","81.5",,,"80.6","82.3","36,098","01047","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.11436 32.3335263)"
"2020","CO","Colorado","Costilla","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","72.6",,,"71.6","73.6","3,921","08023","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-105.4289399 37.2775474)"
"2020","AR","Arkansas","Union","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","77.2",,,"76.3","78.0","38,219","05139","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-92.5981447 33.1682186)"
