"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2023","WA","Washington","Wahkiakum","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","67.6",,,"63.4","71.6","4,765","3,987","53069","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-123.424936104773 46.2921200927637)"
"2023","WY","Wyoming","Uinta","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","67.8",,,"63.4","71.9","20,745","15,278","56041","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-110.547535027877 41.287644945248)"
"2023","WV","West Virginia","Pendleton","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","77.7",,,"73.7","81.5","6,029","4,907","54071","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-79.3506710846556 38.6803979946058)"
"2023","WI","Wisconsin","Kenosha","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.7",,,"73.6","79.8","167,488","131,659","55059","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-88.0420010334725 42.5767151176665)"
"2023","WV","West Virginia","Cabell","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","79.2",,,"75.7","82.7","92,082","73,859","54011","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-82.2415597718845 38.4203751697343)"
"2023","WI","Wisconsin","Eau Claire","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","74.5",,,"70.7","77.7","107,903","86,787","55035","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-91.2860572491138 44.7267727831359)"
"2023","WI","Wisconsin","Trempealeau","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","74.5",,,"70.3","78.3","30,899","22,713","55121","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-91.3584214806691 44.3039450660913)"
"2023","WI","Wisconsin","Vilas","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","80.7",,,"77.6","83.6","23,885","20,060","55125","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-89.5147032960432 46.0528283109831)"
"2023","WI","Wisconsin","Walworth","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","74.7",,,"70.7","78.4","105,822","85,648","55127","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-88.5418387513161 42.6685116518019)"
"2023","WI","Wisconsin","Manitowoc","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","74.5",,,"70.8","78.1","81,331","65,081","55071","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-87.8095945027193 44.1199592891552)"
"2023","WI","Wisconsin","Washburn","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","74.7",,,"70.8","78.5","16,930","13,886","55129","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-91.7913242154414 45.8992656540466)"
"2023","WV","West Virginia","Marshall","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","81.5",,,"77.6","85.0","29,405","23,911","54051","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-80.663378341193 39.860535240966)"
"2023","WY","Wyoming","Crook","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","67.2",,,"62.4","71.7","7,592","5,694","56011","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-104.569576215136 44.5885182060997)"
"2023","WY","Wyoming","Campbell","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","67.2",,,"63.0","71.5","47,498","35,021","56005","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-105.548057845911 44.2485738556036)"
"2023","WV","West Virginia","Mason","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","78.3",,,"74.5","81.8","24,765","19,716","54053","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-82.0265180831264 38.7697766470729)"
"2023","WI","Wisconsin","Juneau","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","73.8",,,"69.9","77.4","26,594","21,598","55057","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-90.1137331257287 43.9244511950016)"
"2023","WI","Wisconsin","Oneida","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","74.8",,,"71.1","78.2","38,226","31,953","55085","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-89.5218417475047 45.7055064731892)"
"2023","WY","Wyoming","Albany","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","67.7",,,"63.4","72.0","38,257","32,496","56001","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-105.723439465307 41.6544509650776)"
