"Year","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2021","71233","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","75.9",,,"70.8","80.6","305","POINT (-90.93209672 32.32517756)","71233","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2021","71234","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","77.9",,,"73.6","81.5","3,992","POINT (-92.34164592 32.64414213)","71234","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2021","71110","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","70.1",,,"64.6","75.7","2,793","POINT (-93.59974673 32.50010453)","71110","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2021","71111","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","77.6",,,"73.1","81.9","38,456","POINT (-93.70305791 32.58157564)","71111","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2021","71327","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","75.8",,,"70.7","80.5","5,454","POINT (-92.03352413 30.98261934)","71327","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2021","71112","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","77.2",,,"72.8","81.6","31,358","POINT (-93.63609682 32.4424914)","71112","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2021","71268","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","78.7",,,"74.3","82.6","2,819","POINT (-92.74098527 32.34703442)","71268","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2021","71269","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","79.1",,,"74.4","83.4","12,757","POINT (-91.6939725 32.48919487)","71269","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2021","71360","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","76.5",,,"72.1","80.4","35,361","POINT (-92.35288302 31.32018397)","71360","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2021","71235","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","78.9",,,"74.2","82.9","4,280","POINT (-92.6742949 32.69054114)","71235","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
