State,County,Metric,Category,Count
Texas,"Frio County, TX",Facility Type,All,3160
Texas,"Frio County, TX",Facility Type,Other Facility Type,3160
Texas,"Frio County, TX",Facility Type (Detailed),All,3160
Texas,"Frio County, TX",Facility Type (Detailed),Contract Detention Facility: owned by private company/under govt contract,1695
Texas,"Frio County, TX",Facility Type (Detailed),Family: a facility in which families are detained together,1465
Texas,"Frio County, TX",Facility Operator,All,3160
Texas,"Frio County, TX",Facility Operator,"GEO Group, Inc",1695
Texas,"Frio County, TX",Facility Operator,CORECIVIC,1465
Texas,"Frio County, TX",Facility Owner,All,3160
Texas,"Frio County, TX",Facility Owner,"GEO Group, Inc",1695
Texas,"Frio County, TX",Facility Owner,County,1465
Texas,"Frio County, TX",Entered ICE Custody by Month,All,3160
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-02,2033
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-01,331
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-03,292
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-12,161
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-10,79
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-11,62
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-09,40
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-07,32
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-05,23
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-08,18
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-06,17
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-01,13
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-03,11
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-04,9
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-12,7
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-02,6
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-05,4
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-06,4
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-10,4
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-11,3
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-01,3
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-09,2
Texas,"Frio County, TX",Entered ICE Custody by Month,2015-09,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2015-11,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-02,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-03,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-07,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2015-02,1
Texas,"Frio County, TX",Time in U.S.,All,3160
Texas,"Frio County, TX",Time in U.S.,Up to 1 year,2529
Texas,"Frio County, TX",Time in U.S.,Not Known,333
Texas,"Frio County, TX",Time in U.S.,Between 1 and 2 years,67
Texas,"Frio County, TX",Time in U.S.,Between 10 and 15 years,49
Texas,"Frio County, TX",Time in U.S.,20 years or more,38
Texas,"Frio County, TX",Time in U.S.,Between 15 and 20 years,33
Texas,"Frio County, TX",Time in U.S.,Between 2 and 3 years,28
Texas,"Frio County, TX",Time in U.S.,Between 3 and 4 years,23
Texas,"Frio County, TX",Time in U.S.,Between 4 and 5 years,14
Texas,"Frio County, TX",Time in U.S.,Between 7 and 8 years,11
Texas,"Frio County, TX",Time in U.S.,Between 6 and 7 years,10
Texas,"Frio County, TX",Time in U.S.,Between 8 and 9 years,10
Texas,"Frio County, TX",Time in U.S.,Between 5 and 6 years,9
Texas,"Frio County, TX",Time in U.S.,Between 9 and 10 years,6
Texas,"Frio County, TX",Legal Permanent Resident,All,3160
Texas,"Frio County, TX",Legal Permanent Resident,No,3147
Texas,"Frio County, TX",Legal Permanent Resident,Yes,13
Texas,"Frio County, TX",Asylum Seeker/Refugee,All,3160
Texas,"Frio County, TX",Asylum Seeker/Refugee,No,2535
Texas,"Frio County, TX",Asylum Seeker/Refugee,Yes,625
Texas,"Frio County, TX",Most Serious Criminal Conviction,All,3160
Texas,"Frio County, TX",Most Serious Criminal Conviction,No Conviction,2525
Texas,"Frio County, TX",Most Serious Criminal Conviction,"Illegal Entry (INA SEC.101(a)(43)(O), 8USC1325 only)",211
Texas,"Frio County, TX",Most Serious Criminal Conviction,Driving Under Influence Liquor,99
Texas,"Frio County, TX",Most Serious Criminal Conviction,Assault,42
Texas,"Frio County, TX",Most Serious Criminal Conviction,Larceny,23
Texas,"Frio County, TX",Most Serious Criminal Conviction,"Illegal Re-Entry (INA SEC.101(a)(43)(O), 8USC1326 only)",21
Texas,"Frio County, TX",Most Serious Criminal Conviction,Marijuana - Possession,16
Texas,"Frio County, TX",Most Serious Criminal Conviction,Dangerous Drugs,14
Texas,"Frio County, TX",Most Serious Criminal Conviction,Traffic Offense,14
