State,County,Metric,Category,Count
Texas,"Frio County, TX",Facility Type,All,2864
Texas,"Frio County, TX",Facility Type,Other Facility Type,2864
Texas,"Frio County, TX",Facility Type (Detailed),All,2864
Texas,"Frio County, TX",Facility Type (Detailed),Contract Detention Facility: owned by private company/under govt contract,1989
Texas,"Frio County, TX",Facility Type (Detailed),Family: a facility in which families are detained together,875
Texas,"Frio County, TX",Facility Operator,All,2864
Texas,"Frio County, TX",Facility Operator,"GEO Group, Inc",1989
Texas,"Frio County, TX",Facility Operator,CORECIVIC,875
Texas,"Frio County, TX",Facility Owner,All,2864
Texas,"Frio County, TX",Facility Owner,"GEO Group, Inc",1989
Texas,"Frio County, TX",Facility Owner,County,875
Texas,"Frio County, TX",Entered ICE Custody by Month,All,2864
Texas,"Frio County, TX",Entered ICE Custody by Month,2019-06,1804
Texas,"Frio County, TX",Entered ICE Custody by Month,2019-05,472
Texas,"Frio County, TX",Entered ICE Custody by Month,2019-04,231
Texas,"Frio County, TX",Entered ICE Custody by Month,2019-03,101
Texas,"Frio County, TX",Entered ICE Custody by Month,2019-02,59
Texas,"Frio County, TX",Entered ICE Custody by Month,2019-01,50
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-12,36
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-11,26
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-10,16
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-07,11
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-09,10
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-08,10
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-06,9
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-05,4
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-12,4
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-04,3
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-01,3
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-02,2
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-11,2
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-01,2
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-06,2
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-12,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-02,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-05,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-07,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-10,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-03,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-05,1
Texas,"Frio County, TX",Time in U.S.,All,2864
Texas,"Frio County, TX",Time in U.S.,Up to 1 year,2247
Texas,"Frio County, TX",Time in U.S.,Not Known,327
Texas,"Frio County, TX",Time in U.S.,Between 1 and 2 years,52
Texas,"Frio County, TX",Time in U.S.,Between 10 and 15 years,48
Texas,"Frio County, TX",Time in U.S.,Between 15 and 20 years,39
Texas,"Frio County, TX",Time in U.S.,20 years or more,27
Texas,"Frio County, TX",Time in U.S.,Between 2 and 3 years,26
Texas,"Frio County, TX",Time in U.S.,Between 3 and 4 years,25
Texas,"Frio County, TX",Time in U.S.,Between 4 and 5 years,20
Texas,"Frio County, TX",Time in U.S.,Between 5 and 6 years,14
Texas,"Frio County, TX",Time in U.S.,Between 9 and 10 years,11
Texas,"Frio County, TX",Time in U.S.,Between 8 and 9 years,11
Texas,"Frio County, TX",Time in U.S.,Between 6 and 7 years,10
Texas,"Frio County, TX",Time in U.S.,Between 7 and 8 years,7
Texas,"Frio County, TX",Legal Permanent Resident,All,2864
Texas,"Frio County, TX",Legal Permanent Resident,No,2854
Texas,"Frio County, TX",Legal Permanent Resident,Yes,10
Texas,"Frio County, TX",Asylum Seeker/Refugee,All,2864
Texas,"Frio County, TX",Asylum Seeker/Refugee,No,2695
Texas,"Frio County, TX",Asylum Seeker/Refugee,Yes,169
Texas,"Frio County, TX",Most Serious Criminal Conviction,All,2864
